Timestamp,Temperature_C,Humidity_Percent,Air_Quality_Value
2000-07-22,31.06,67.3,136
2000-07-23,35.16,54.9,90
2000-07-24,36.43,67.6,198
2000-07-25,28.64,54.7,52
2000-07-26,32.72,72.4,178
2000-07-27,33.22,76.9,50
2000-07-28,33.57,57.2,110
2000-07-29,33.82,67.5,196
2000-07-30,37.2,73.7,63
2000-07-31,31.88,74.3,78
2000-08-01,31.16,58.8,52
2000-08-02,37.0,70.7,134
2000-08-03,34.8,84.2,186
2000-08-04,29.67,78.5,184
2000-08-05,35.62,66.4,143
2000-08-06,36.41,73.6,156
2000-08-07,28.56,67.8,117
2000-08-08,37.52,79.6,91
2000-08-09,34.27,71.5,130
2000-08-10,29.76,59.1,167
2000-08-11,32.97,75.4,165
2000-08-12,34.27,75.4,159
2000-08-13,35.81,81.5,188
2000-08-14,37.08,72.8,60
2000-08-15,33.13,52.3,159
2000-08-16,34.72,52.0,83
2000-08-17,32.92,81.7,77
2000-08-18,36.5,62.6,83
2000-08-19,29.99,73.5,141
2000-08-20,30.57,63.2,98
2000-08-21,37.29,74.4,57
2000-08-22,31.87,72.9,199
2000-08-23,33.17,69.8,73
2000-08-24,30.77,68.6,100
2000-08-25,30.49,62.2,106
2000-08-26,35.4,62.8,103
2000-08-27,35.6,64.8,90
2000-08-28,32.84,55.8,121
2000-08-29,30.2,73.2,158
2000-08-30,32.76,57.1,194
2000-08-31,30.36,76.5,193
2000-09-01,30.17,70.2,88
2000-09-02,36.26,58.4,195
2000-09-03,36.44,60.9,165
2000-09-04,29.34,72.3,172
2000-09-05,29.18,58.3,180
2000-09-06,36.83,55.9,138
2000-09-07,36.02,57.4,74
2000-09-08,30.13,79.3,131
2000-09-09,36.15,52.9,57
2000-09-10,37.45,51.4,79
2000-09-11,34.87,51.1,112
2000-09-12,36.77,66.9,167
2000-09-13,35.38,61.3,145
2000-09-14,34.52,73.6,112
2000-09-15,36.98,82.3,194
2000-09-16,28.7,75.1,144
2000-09-17,37.32,81.5,95
2000-09-18,31.21,74.1,67
2000-09-19,29.23,50.1,161
2000-09-20,35.95,55.5,121
2000-09-21,28.75,64.0,107
2000-09-22,28.72,81.5,134
2000-09-23,30.99,72.6,70
2000-09-24,35.47,61.1,177
2000-09-25,30.97,53.7,138
2000-09-26,28.97,71.5,122
2000-09-27,37.67,57.6,167
2000-09-28,37.28,68.6,146
2000-09-29,36.77,73.7,114
2000-09-30,35.55,82.9,169
2000-10-01,27.86,59.2,132
2000-10-02,27.32,63.8,126
2000-10-03,26.4,50.8,93
2000-10-04,23.02,69.8,150
2000-10-05,24.65,52.3,151
2000-10-06,20.32,54.7,152
2000-10-07,23.17,48.2,196
2000-10-08,23.64,56.6,125
2000-10-09,19.93,66.1,190
2000-10-10,21.38,52.9,153
2000-10-11,24.55,55.8,147
2000-10-12,18.59,65.8,79
2000-10-13,22.62,52.8,55
2000-10-14,21.43,64.3,104
2000-10-15,23.07,69.4,132
2000-10-16,23.48,63.1,82
2000-10-17,21.79,63.3,73
2000-10-18,25.39,48.0,67
2000-10-19,23.65,52.6,144
2000-10-20,26.69,49.2,192
2000-10-21,25.15,46.8,168
2000-10-22,21.29,68.9,180
2000-10-23,18.8,57.2,122
2000-10-24,25.67,67.2,171
2000-10-25,15.38,62.4,68
2000-10-26,26.04,46.7,63
2000-10-27,18.14,53.3,145
2000-10-28,26.51,54.3,154
2000-10-29,25.85,69.0,122
2000-10-30,21.06,61.5,63
2000-10-31,27.74,61.2,186
2000-11-01,21.67,60.4,110
2000-11-02,27.96,68.8,77
2000-11-03,16.93,57.2,193
2000-11-04,23.33,65.2,75
2000-11-05,16.17,60.5,88
2000-11-06,24.69,64.5,100
2000-11-07,20.39,47.6,181
2000-11-08,16.07,66.5,64
2000-11-09,15.7,60.9,199
2000-11-10,17.51,60.0,199
2000-11-11,19.93,47.2,73
2000-11-12,15.51,45.5,140
2000-11-13,27.94,54.5,105
2000-11-14,25.55,50.1,99
2000-11-15,21.63,50.4,185
2000-11-16,19.17,58.1,195
2000-11-17,15.25,63.1,162
2000-11-18,23.38,61.1,80
2000-11-19,21.75,68.7,173
2000-11-20,15.95,62.1,194
2000-11-21,21.95,57.6,135
2000-11-22,15.12,46.9,82
2000-11-23,27.53,57.6,72
2000-11-24,18.41,53.1,101
2000-11-25,22.05,65.7,95
2000-11-26,15.63,67.9,63
2000-11-27,21.09,57.3,78
2000-11-28,16.27,53.0,50
2000-11-29,27.61,66.9,71
2000-11-30,20.72,57.5,91
2000-12-01,6.23,51.5,197
2000-12-02,16.52,69.9,134
2000-12-03,12.71,69.4,174
2000-12-04,5.58,62.6,132
2000-12-05,15.74,40.1,64
2000-12-06,9.52,49.5,152
2000-12-07,11.26,65.8,198
2000-12-08,12.33,50.3,185
2000-12-09,7.2,53.7,159
2000-12-10,14.24,65.6,102
2000-12-11,14.57,52.3,119
2000-12-12,17.12,47.5,194
2000-12-13,5.33,52.4,156
2000-12-14,8.87,38.2,137
2000-12-15,13.49,53.0,62
2000-12-16,7.77,54.0,146
2000-12-17,15.48,48.6,101
2000-12-18,7.12,56.3,82
2000-12-19,10.19,40.8,196
2000-12-20,11.1,65.4,130
2000-12-21,13.55,55.7,177
2000-12-22,8.9,55.8,97
2000-12-23,8.47,55.5,119
2000-12-24,13.16,61.9,127
2000-12-25,17.23,39.2,120
2000-12-26,12.0,66.5,181
2000-12-27,17.8,47.0,178
2000-12-28,9.38,63.8,165
2000-12-29,7.08,50.7,184
2000-12-30,11.63,61.1,85
2000-12-31,15.64,60.9,195
2001-01-01,17.81,36.5,138
2001-01-02,13.48,64.1,148
2001-01-03,10.92,63.8,61
2001-01-04,9.45,38.2,143
2001-01-05,11.47,46.1,89
2001-01-06,16.87,67.3,60
2001-01-07,7.07,65.1,134
2001-01-08,6.97,68.0,97
2001-01-09,11.36,61.5,83
2001-01-10,8.1,44.4,70
2001-01-11,16.95,45.8,164
2001-01-12,15.52,39.5,73
2001-01-13,8.35,50.1,150
2001-01-14,10.7,64.4,161
2001-01-15,13.08,62.2,50
2001-01-16,15.74,38.9,165
2001-01-17,9.81,46.3,197
2001-01-18,13.36,63.0,89
2001-01-19,10.54,40.4,147
2001-01-20,9.99,52.6,98
2001-01-21,9.5,54.9,106
2001-01-22,16.06,59.4,194
2001-01-23,7.04,58.3,50
2001-01-24,5.76,40.1,71
2001-01-25,15.55,43.9,129
2001-01-26,10.67,57.7,135
2001-01-27,17.28,36.0,101
2001-01-28,8.84,68.8,152
2001-01-29,13.96,40.1,97
2001-01-30,6.91,50.5,143
2001-01-31,8.01,56.9,144
2001-02-01,12.74,62.1,75
2001-02-02,17.32,43.1,199
2001-02-03,11.72,52.1,133
2001-02-04,14.56,53.2,197
2001-02-05,12.69,38.6,50
2001-02-06,10.26,46.6,145
2001-02-07,15.18,36.6,199
2001-02-08,15.58,65.0,110
2001-02-09,12.39,41.1,89
2001-02-10,14.78,67.4,116
2001-02-11,11.8,42.9,122
2001-02-12,7.62,47.2,85
2001-02-13,16.21,45.0,177
2001-02-14,5.12,67.2,184
2001-02-15,12.49,53.2,162
2001-02-16,6.27,39.7,57
2001-02-17,13.43,53.5,153
2001-02-18,14.71,57.2,68
2001-02-19,10.76,52.6,65
2001-02-20,8.75,58.2,78
2001-02-21,9.41,47.5,194
2001-02-22,13.94,39.4,134
2001-02-23,7.34,62.8,93
2001-02-24,13.27,61.9,91
2001-02-25,6.63,65.1,98
2001-02-26,16.19,50.0,151
2001-02-27,5.51,41.2,119
2001-02-28,15.41,48.4,96
2001-03-01,22.51,47.1,146
2001-03-02,22.22,45.8,131
2001-03-03,18.41,59.0,96
2001-03-04,20.11,37.1,111
2001-03-05,18.31,56.3,130
2001-03-06,22.44,35.5,179
2001-03-07,28.28,59.1,200
2001-03-08,21.77,36.4,102
2001-03-09,25.87,49.5,137
2001-03-10,29.49,41.1,129
2001-03-11,25.81,39.0,179
2001-03-12,20.68,49.4,104
2001-03-13,29.79,59.2,89
2001-03-14,20.44,35.3,193
2001-03-15,21.11,45.1,80
2001-03-16,29.22,35.9,196
2001-03-17,25.88,38.1,73
2001-03-18,29.84,52.2,118
2001-03-19,22.05,51.8,132
2001-03-20,18.95,43.2,168
2001-03-21,23.2,55.4,124
2001-03-22,26.86,43.6,163
2001-03-23,22.01,37.2,98
2001-03-24,23.24,35.3,74
2001-03-25,27.59,55.9,96
2001-03-26,19.54,44.2,152
2001-03-27,25.58,42.7,63
2001-03-28,25.6,41.4,90
2001-03-29,18.4,51.0,170
2001-03-30,28.25,52.4,64
2001-03-31,24.39,46.9,191
2001-04-01,20.79,35.4,167
2001-04-02,18.88,42.1,74
2001-04-03,20.66,52.0,171
2001-04-04,24.92,41.4,60
2001-04-05,20.64,53.6,162
2001-04-06,24.27,53.7,170
2001-04-07,23.58,41.0,154
2001-04-08,29.28,43.2,182
2001-04-09,22.63,59.8,121
2001-04-10,28.95,42.0,65
2001-04-11,22.4,35.5,104
2001-04-12,18.32,56.6,135
2001-04-13,19.27,42.6,190
2001-04-14,19.96,42.5,127
2001-04-15,28.72,49.4,120
2001-04-16,29.46,50.8,138
2001-04-17,28.82,46.1,131
2001-04-18,21.64,59.2,173
2001-04-19,19.48,59.3,149
2001-04-20,24.04,45.4,55
2001-04-21,27.58,36.6,115
2001-04-22,24.94,41.1,55
2001-04-23,23.72,38.1,117
2001-04-24,23.53,55.6,78
2001-04-25,22.52,39.9,135
2001-04-26,18.43,49.4,184
2001-04-27,27.15,39.7,103
2001-04-28,24.25,41.1,145
2001-04-29,24.52,47.0,156
2001-04-30,22.33,35.6,135
2001-05-01,29.75,37.6,171
2001-05-02,24.8,44.3,102
2001-05-03,26.21,51.9,69
2001-05-04,22.34,53.2,189
2001-05-05,24.66,59.1,69
2001-05-06,28.47,49.9,64
2001-05-07,25.38,47.6,103
2001-05-08,21.97,55.8,50
2001-05-09,23.71,53.4,77
2001-05-10,26.78,51.4,180
2001-05-11,18.7,38.3,51
2001-05-12,26.21,45.9,126
2001-05-13,28.73,36.0,56
2001-05-14,19.89,52.2,198
2001-05-15,20.57,47.0,157
2001-05-16,21.22,45.4,80
2001-05-17,22.02,37.2,89
2001-05-18,29.54,58.1,176
2001-05-19,18.36,55.1,52
2001-05-20,27.25,44.7,196
2001-05-21,22.05,58.8,80
2001-05-22,26.14,49.5,174
2001-05-23,25.78,55.8,119
2001-05-24,26.03,45.7,78
2001-05-25,28.49,40.0,175
2001-05-26,26.32,56.3,132
2001-05-27,28.7,53.1,131
2001-05-28,23.91,47.3,178
2001-05-29,23.62,37.3,191
2001-05-30,18.23,41.8,161
2001-05-31,18.71,48.0,169
2001-06-01,36.74,61.0,98
2001-06-02,34.54,62.5,167
2001-06-03,37.97,62.2,89
2001-06-04,28.23,79.4,157
2001-06-05,30.15,52.8,72
2001-06-06,28.88,53.3,89
2001-06-07,30.31,69.8,95
2001-06-08,36.15,60.8,171
2001-06-09,32.51,70.5,183
2001-06-10,37.77,74.6,139
2001-06-11,30.96,75.1,93
2001-06-12,30.92,58.2,134
2001-06-13,31.08,69.7,70
2001-06-14,30.14,77.6,68
2001-06-15,28.48,53.9,80
2001-06-16,37.75,53.3,153
2001-06-17,28.43,53.4,74
2001-06-18,37.32,75.4,174
2001-06-19,29.17,66.1,61
2001-06-20,31.06,59.9,76
2001-06-21,29.31,75.7,121
2001-06-22,37.77,69.7,139
2001-06-23,37.47,55.0,134
2001-06-24,37.56,68.4,67
2001-06-25,32.11,69.4,152
2001-06-26,35.21,64.8,170
2001-06-27,31.0,69.8,138
2001-06-28,30.5,53.9,80
2001-06-29,34.95,84.8,94
2001-06-30,37.96,62.8,74
2001-07-01,30.02,51.2,177
2001-07-02,32.59,71.7,145
2001-07-03,33.94,56.4,94
2001-07-04,32.66,59.7,141
2001-07-05,34.07,61.0,182
2001-07-06,31.47,51.5,77
2001-07-07,29.15,63.8,97
2001-07-08,30.54,55.9,151
2001-07-09,34.62,60.4,78
2001-07-10,36.61,53.2,188
2001-07-11,29.75,76.4,141
2001-07-12,32.42,74.9,64
2001-07-13,37.12,53.9,112
2001-07-14,37.02,72.0,148
2001-07-15,34.82,55.8,153
2001-07-16,35.46,50.9,118
2001-07-17,30.89,57.8,131
2001-07-18,30.55,72.4,125
2001-07-19,36.01,57.2,84
2001-07-20,31.53,67.2,133
2001-07-21,33.67,56.9,106
2001-07-22,33.94,75.4,116
2001-07-23,31.98,55.4,171
2001-07-24,32.16,55.7,190
2001-07-25,34.6,52.7,107
2001-07-26,30.8,51.8,104
2001-07-27,37.32,52.5,142
2001-07-28,36.42,58.3,165
2001-07-29,33.07,56.6,152
2001-07-30,31.43,84.8,93
2001-07-31,37.77,83.3,170
2001-08-01,37.0,67.2,97
2001-08-02,36.57,62.4,116
2001-08-03,37.1,61.1,121
2001-08-04,31.67,59.2,108
2001-08-05,36.95,67.6,105
2001-08-06,34.6,74.3,59
2001-08-07,34.57,72.0,183
2001-08-08,33.78,62.5,190
2001-08-09,29.74,75.1,83
2001-08-10,34.87,59.6,172
2001-08-11,33.46,62.9,122
2001-08-12,29.33,80.6,70
2001-08-13,32.88,77.1,94
2001-08-14,33.18,71.4,135
2001-08-15,33.62,54.9,178
2001-08-16,30.94,67.2,126
2001-08-17,31.56,55.0,129
2001-08-18,28.68,76.8,86
2001-08-19,36.9,54.0,148
2001-08-20,37.0,71.9,61
2001-08-21,29.7,67.4,165
2001-08-22,31.77,78.4,67
2001-08-23,29.75,79.3,63
2001-08-24,35.51,51.2,67
2001-08-25,29.95,56.0,74
2001-08-26,33.76,58.6,167
2001-08-27,30.35,82.6,123
2001-08-28,36.29,56.0,199
2001-08-29,31.61,56.1,53
2001-08-30,28.38,57.5,108
2001-08-31,28.57,77.0,59
2001-09-01,33.65,60.4,79
2001-09-02,29.27,67.2,84
2001-09-03,34.56,61.4,142
2001-09-04,32.6,65.8,200
2001-09-05,33.44,74.8,177
2001-09-06,35.49,66.5,128
2001-09-07,32.73,53.5,145
2001-09-08,35.81,55.3,110
2001-09-09,28.58,56.2,117
2001-09-10,32.22,64.5,149
2001-09-11,30.77,84.0,95
2001-09-12,33.03,56.4,181
2001-09-13,37.23,68.5,68
2001-09-14,32.08,83.1,171
2001-09-15,33.41,84.0,147
2001-09-16,35.11,59.6,164
2001-09-17,32.6,59.2,144
2001-09-18,28.71,77.8,83
2001-09-19,32.34,53.2,125
2001-09-20,29.76,76.9,168
2001-09-21,36.27,73.2,69
2001-09-22,28.32,70.4,160
2001-09-23,31.57,64.5,134
2001-09-24,36.25,59.7,164
2001-09-25,33.33,62.5,157
2001-09-26,33.41,50.2,118
2001-09-27,30.99,53.7,130
2001-09-28,28.02,78.8,64
2001-09-29,32.66,61.1,111
2001-09-30,31.64,82.6,145
2001-10-01,18.39,54.0,72
2001-10-02,21.49,57.1,198
2001-10-03,24.33,63.8,77
2001-10-04,21.56,49.4,62
2001-10-05,23.15,66.3,186
2001-10-06,27.83,45.4,177
2001-10-07,25.37,68.7,95
2001-10-08,24.37,59.0,91
2001-10-09,24.19,49.1,89
2001-10-10,16.53,58.0,200
2001-10-11,22.94,62.2,186
2001-10-12,20.22,62.0,102
2001-10-13,22.78,56.8,93
2001-10-14,15.67,48.7,110
2001-10-15,18.22,63.1,102
2001-10-16,18.42,53.3,145
2001-10-17,21.32,67.3,106
2001-10-18,23.4,58.0,116
2001-10-19,24.33,59.7,94
2001-10-20,22.81,49.2,142
2001-10-21,22.98,61.1,63
2001-10-22,27.29,63.0,190
2001-10-23,20.76,51.7,96
2001-10-24,21.45,51.1,146
2001-10-25,18.98,53.2,163
2001-10-26,19.69,66.1,129
2001-10-27,23.58,69.3,155
2001-10-28,25.91,68.3,95
2001-10-29,26.65,56.0,65
2001-10-30,19.21,60.1,88
2001-10-31,19.03,51.0,126
2001-11-01,24.71,50.0,57
2001-11-02,18.58,47.4,121
2001-11-03,19.52,51.6,155
2001-11-04,18.96,52.9,161
2001-11-05,23.5,63.5,97
2001-11-06,25.8,57.0,90
2001-11-07,23.83,62.7,136
2001-11-08,19.89,65.9,131
2001-11-09,23.27,53.1,196
2001-11-10,16.53,53.6,122
2001-11-11,19.02,66.6,50
2001-11-12,25.11,46.5,183
2001-11-13,22.4,68.4,52
2001-11-14,26.45,45.5,92
2001-11-15,25.59,55.5,173
2001-11-16,15.29,63.9,144
2001-11-17,26.26,45.7,142
2001-11-18,21.91,56.6,163
2001-11-19,20.23,69.1,122
2001-11-20,23.8,57.1,167
2001-11-21,27.14,67.8,191
2001-11-22,25.54,45.9,158
2001-11-23,16.24,62.1,73
2001-11-24,24.0,58.6,55
2001-11-25,23.87,46.0,200
2001-11-26,20.85,69.1,98
2001-11-27,17.91,59.1,91
2001-11-28,22.29,57.4,158
2001-11-29,27.43,66.4,83
2001-11-30,20.04,46.3,199
2001-12-01,11.21,44.9,90
2001-12-02,14.68,59.6,162
2001-12-03,16.24,57.6,192
2001-12-04,17.44,46.2,191
2001-12-05,16.49,47.5,89
2001-12-06,7.83,69.1,200
2001-12-07,9.92,62.4,191
2001-12-08,9.28,55.9,125
2001-12-09,15.95,52.1,56
2001-12-10,11.33,36.1,172
2001-12-11,17.3,69.3,196
2001-12-12,7.53,57.6,139
2001-12-13,7.99,60.0,61
2001-12-14,14.47,63.7,104
2001-12-15,8.92,36.3,176
2001-12-16,7.57,44.8,64
2001-12-17,10.7,36.5,56
2001-12-18,6.4,43.6,184
2001-12-19,10.47,56.0,64
2001-12-20,17.26,58.1,199
2001-12-21,5.68,63.1,178
2001-12-22,12.11,38.7,144
2001-12-23,15.62,66.7,170
2001-12-24,13.58,55.6,168
2001-12-25,9.46,62.2,199
2001-12-26,6.25,57.3,135
2001-12-27,6.71,53.9,74
2001-12-28,12.45,59.6,58
2001-12-29,16.51,64.4,57
2001-12-30,5.04,47.5,160
2001-12-31,10.91,41.8,135
2002-01-01,7.69,49.8,191
2002-01-02,10.35,68.3,99
2002-01-03,5.16,38.1,197
2002-01-04,13.84,52.4,148
2002-01-05,14.78,41.5,162
2002-01-06,5.64,53.8,151
2002-01-07,13.56,55.1,170
2002-01-08,17.84,64.0,53
2002-01-09,6.59,44.0,147
2002-01-10,6.13,39.8,99
2002-01-11,10.36,61.6,136
2002-01-12,7.49,52.1,136
2002-01-13,7.76,42.9,156
2002-01-14,14.61,57.7,77
2002-01-15,5.51,35.6,95
2002-01-16,16.94,39.1,54
2002-01-17,5.96,68.0,195
2002-01-18,9.43,64.8,190
2002-01-19,16.51,61.7,176
2002-01-20,7.34,57.0,156
2002-01-21,11.94,55.2,189
2002-01-22,7.99,65.5,108
2002-01-23,10.29,48.0,110
2002-01-24,12.75,39.7,127
2002-01-25,9.86,66.8,187
2002-01-26,6.66,55.8,133
2002-01-27,13.5,49.0,107
2002-01-28,10.25,42.7,160
2002-01-29,17.19,51.0,116
2002-01-30,17.01,42.3,151
2002-01-31,9.67,67.5,121
2002-02-01,5.62,56.8,179
2002-02-02,5.53,46.5,99
2002-02-03,15.77,63.1,91
2002-02-04,12.13,56.5,194
2002-02-05,16.09,61.0,187
2002-02-06,7.66,56.2,54
2002-02-07,9.37,65.5,88
2002-02-08,9.9,64.8,186
2002-02-09,17.57,59.8,57
2002-02-10,12.49,58.9,185
2002-02-11,17.26,46.1,63
2002-02-12,12.46,37.3,121
2002-02-13,9.53,43.1,161
2002-02-14,5.02,63.7,100
2002-02-15,12.34,69.9,99
2002-02-16,6.76,44.2,155
2002-02-17,8.24,37.5,122
2002-02-18,16.09,44.1,132
2002-02-19,6.5,63.8,190
2002-02-20,11.99,50.3,112
2002-02-21,7.16,61.7,73
2002-02-22,17.76,68.1,119
2002-02-23,15.12,66.2,130
2002-02-24,6.27,69.9,177
2002-02-25,11.18,44.9,70
2002-02-26,10.11,65.7,61
2002-02-27,15.83,51.3,131
2002-02-28,9.88,54.9,68
2002-03-01,26.54,36.9,117
2002-03-02,23.61,55.4,56
2002-03-03,29.7,55.0,62
2002-03-04,22.63,45.6,151
2002-03-05,18.02,38.1,55
2002-03-06,25.27,49.1,162
2002-03-07,23.23,58.5,165
2002-03-08,23.9,40.0,131
2002-03-09,21.55,51.2,78
2002-03-10,26.96,58.4,50
2002-03-11,19.71,53.2,186
2002-03-12,21.21,54.2,87
2002-03-13,22.68,55.1,153
2002-03-14,19.15,43.3,132
2002-03-15,26.04,54.1,146
2002-03-16,26.87,43.5,167
2002-03-17,22.64,58.4,178
2002-03-18,25.68,37.2,120
2002-03-19,26.09,35.5,69
2002-03-20,28.11,45.0,125
2002-03-21,29.16,41.0,121
2002-03-22,24.13,59.1,98
2002-03-23,22.22,52.8,154
2002-03-24,24.44,41.5,157
2002-03-25,18.32,46.1,66
2002-03-26,29.34,54.6,57
2002-03-27,28.55,56.9,82
2002-03-28,24.84,47.4,163
2002-03-29,21.15,52.8,94
